"","qsim_site","river_name","section_id","section_name","km","qsimVis_ID","qsimVis_source"
"Lwk__S203.Lwk__5.6.m","Lwk__S203.Lwk__5.6","Lwk","S203","Lwk",5.6,"LWK","verknet"
"SOW__S501.SOW__5.6.m","SOW__S501.SOW__5.6","SOW","S501","SOW",5.6,"SOW","verknet"
"SOW__S501.SOW__5.5.m","SOW__S501.SOW__5.5","SOW","S501","SOW",5.5,"SOW","verknet"
"Lwk__S203.Lwk__5.46.m","Lwk__S203.Lwk__5.46","Lwk","S203","Lwk",5.46,"LWK","verknet"
"SOW__S501.SOW__5.4.m","SOW__S501.SOW__5.4","SOW","S501","SOW",5.4,"SOW","verknet"
"Lwk__S203.Lwk__5.3.m","Lwk__S203.Lwk__5.3","Lwk","S203","Lwk",5.3,"LWK","verknet"
"SOW__S501.SOW__5.3.m","SOW__S501.SOW__5.3","SOW","S501","SOW",5.3,"SOW","verknet"
"SOW__S501.SOW__5.2.m","SOW__S501.SOW__5.2","SOW","S501","SOW",5.2,"SOW","verknet"
"Lwk__S203.Lwk__5.15.m","Lwk__S203.Lwk__5.15","Lwk","S203","Lwk",5.15,"LWK","verknet"
"SOW__S501.SOW__5.1.m","SOW__S501.SOW__5.1","SOW","S501","SOW",5.1,"SOW","verknet"
"Lwk__S203.Lwk__4.85.m","Lwk__S203.Lwk__4.85","Lwk","S203","Lwk",4.85,"LWK","verknet"
"Lwk__S203.Lwk__4.7.m","Lwk__S203.Lwk__4.7","Lwk","S203","Lwk",4.7,"LWK","verknet"
"SOW__S501.SOW__4.6.m","SOW__S501.SOW__4.6","SOW","S501","SOW",4.6,"SOW","verknet"
"SOW__S501.SOW__4.5.m","SOW__S501.SOW__4.5","SOW","S501","SOW",4.5,"SOW","verknet"
"SOW__S501.SOW__4.4.m","SOW__S501.SOW__4.4","SOW","S501","SOW",4.4,"SOW","verknet"
"SOW__S501.SOW__4.3.m","SOW__S501.SOW__4.3","SOW","S501","SOW",4.3,"SOW","verknet"
"SOW__S501.SOW__4.2.m","SOW__S501.SOW__4.2","SOW","S501","SOW",4.2,"SOW","verknet"
"Lwk__S203.Lwk__4.15.m","Lwk__S203.Lwk__4.15","Lwk","S203","Lwk",4.15,"LWK","verknet"
"SOW__S501.SOW__4.1.m","SOW__S501.SOW__4.1","SOW","S501","SOW",4.1,"SOW","verknet"
"Pa2__Panke.2__4.086","Pa2__Panke.2__4.086","Pa2","Panke","2",4.086,"Panke","manually_added"
"Pa2__Panke.2__4.0527","Pa2__Panke.2__4.0527","Pa2","Panke","2",4.0527,"Panke","manually_added"
"SOW__S501.SOW__4.m","SOW__S501.SOW__4","SOW","S501","SOW",4,"SOW","verknet"
"UHW__S504.UHW__4.m","UHW__S504.UHW__4","UHW","S504","UHW",4,"UHW","verknet"
"Pa2__Panke.2__3.995","Pa2__Panke.2__3.995","Pa2","Panke","2",3.995,"Panke","manually_added"
"Pa2__Panke.2__3.95","Pa2__Panke.2__3.95","Pa2","Panke","2",3.95,"Panke","manually_added"
"Pa2__Panke.2__3.919","Pa2__Panke.2__3.919","Pa2","Panke","2",3.919,"Panke","manually_added"
"SOW__S501.SOW__3.9.m","SOW__S501.SOW__3.9","SOW","S501","SOW",3.9,"SOW","verknet"
"UHW__S504.UHW__3.9.m","UHW__S504.UHW__3.9","UHW","S504","UHW",3.9,"UHW","verknet"
"Pa2__Panke.2__3.891","Pa2__Panke.2__3.891","Pa2","Panke","2",3.891,"Panke","manually_added"
"Pa2__Panke.2__3.861","Pa2__Panke.2__3.861","Pa2","Panke","2",3.861,"Panke","manually_added"
"Pa2__Panke.2__3.823","Pa2__Panke.2__3.823","Pa2","Panke","2",3.823,"Panke","manually_added"
"SOW__S501.SOW__3.8.m","SOW__S501.SOW__3.8","SOW","S501","SOW",3.8,"SOW","verknet"
"UHW__S504.UHW__3.8.m","UHW__S504.UHW__3.8","UHW","S504","UHW",3.8,"UHW","verknet"
"Pa2__Panke.2__3.783","Pa2__Panke.2__3.783","Pa2","Panke","2",3.783,"Panke","manually_added"
"Pa2__Panke.2__3.712","Pa2__Panke.2__3.712","Pa2","Panke","2",3.712,"Panke","manually_added"
"Lwk__S203.Lwk__3.7.m","Lwk__S203.Lwk__3.7","Lwk","S203","Lwk",3.7,"LWK","verknet"
"SOW__S501.SOW__3.7.m","SOW__S501.SOW__3.7","SOW","S501","SOW",3.7,"SOW","verknet"
"UHW__S504.UHW__3.7.m","UHW__S504.UHW__3.7","UHW","S504","UHW",3.7,"UHW","verknet"
"Pa2__Panke.2__3.677","Pa2__Panke.2__3.677","Pa2","Panke","2",3.677,"Panke","manually_added"
"SOW__S501.SOW__3.6.m","SOW__S501.SOW__3.6","SOW","S501","SOW",3.6,"SOW","verknet"
"UHW__S504.UHW__3.6.m","UHW__S504.UHW__3.6","UHW","S504","UHW",3.6,"UHW","verknet"
"SOW__S501.SOW__3.5.m","SOW__S501.SOW__3.5","SOW","S501","SOW",3.5,"SOW","verknet"
"UHW__S504.UHW__3.5.m","UHW__S504.UHW__3.5","UHW","S504","UHW",3.5,"UHW","verknet"
"Pa2__Panke.2__3.484","Pa2__Panke.2__3.484","Pa2","Panke","2",3.484,"Panke","manually_added"
"Pa2__Panke.2__3.442","Pa2__Panke.2__3.442","Pa2","Panke","2",3.442,"Panke","manually_added"
"Pa2__Panke.2__3.413","Pa2__Panke.2__3.413","Pa2","Panke","2",3.413,"Panke","manually_added"
"SOW__S501.SOW__3.4.m","SOW__S501.SOW__3.4","SOW","S501","SOW",3.4,"SOW","verknet"
"UHW__S504.UHW__3.4.m","UHW__S504.UHW__3.4","UHW","S504","UHW",3.4,"UHW","verknet"
"Pa2__Panke.2__3.383","Pa2__Panke.2__3.383","Pa2","Panke","2",3.383,"Panke","manually_added"
"Pa2__Panke.2__3.342","Pa2__Panke.2__3.342","Pa2","Panke","2",3.342,"Panke","manually_added"
"Lwk__S203.Lwk__3.34.m","Lwk__S203.Lwk__3.34","Lwk","S203","Lwk",3.34,"LWK","verknet"
"Pa2__Panke.2__3.311","Pa2__Panke.2__3.311","Pa2","Panke","2",3.311,"Panke","manually_added"
"SOW__S501.SOW__3.3.m","SOW__S501.SOW__3.3","SOW","S501","SOW",3.3,"SOW","verknet"
"UHW__S504.UHW__3.3.m","UHW__S504.UHW__3.3","UHW","S504","UHW",3.3,"UHW","verknet"
"Pa2__Panke.2__3.267","Pa2__Panke.2__3.267","Pa2","Panke","2",3.267,"Panke","manually_added"
"NSK__S201.Nsk__3.25","NSK__S201.Nsk__3.25","NSK","S201","Nsk",3.25,"Neukoellner_Schifffahrtskanal","manually_added"
"Pa2__Panke.2__3.228","Pa2__Panke.2__3.228","Pa2","Panke","2",3.228,"Panke","manually_added"
"SOW__S501.SOW__3.2.m","SOW__S501.SOW__3.2","SOW","S501","SOW",3.2,"SOW","verknet"
"UHW__S504.UHW__3.2.m","UHW__S504.UHW__3.2","UHW","S504","UHW",3.2,"UHW","verknet"
"Pa2__Panke.2__3.17","Pa2__Panke.2__3.17","Pa2","Panke","2",3.17,"Panke","manually_added"
"Pa2__Panke.2__3.1294","Pa2__Panke.2__3.1294","Pa2","Panke","2",3.1294,"Panke","manually_added"
"SOW__S501.SOW__3.1.m","SOW__S501.SOW__3.1","SOW","S501","SOW",3.1,"SOW","verknet"
"UHW__S504.UHW__3.1.m","UHW__S504.UHW__3.1","UHW","S504","UHW",3.1,"UHW","verknet"
"Pa2__Panke.2__3.092","Pa2__Panke.2__3.092","Pa2","Panke","2",3.092,"Panke","manually_added"
"Pa2__Panke.2__3.056","Pa2__Panke.2__3.056","Pa2","Panke","2",3.056,"Panke","manually_added"
"WHK__S311.WHK__3.05.m","WHK__S311.WHK__3.05","WHK","S311","WHK",3.05,"WHK","verknet"
"Pa2__Panke.2__3.01","Pa2__Panke.2__3.01","Pa2","Panke","2",3.01,"Panke","manually_added"
"Lwk__S203.Lwk__3.m","Lwk__S203.Lwk__3","Lwk","S203","Lwk",3,"LWK","verknet"
"SOW__S501.SOW__3.m","SOW__S501.SOW__3","SOW","S501","SOW",3,"SOW","verknet"
"UHW__S504.UHW__3.m","UHW__S504.UHW__3","UHW","S504","UHW",3,"UHW","verknet"
"Pa2__Panke.2__2.9519","Pa2__Panke.2__2.9519","Pa2","Panke","2",2.9519,"Panke","manually_added"
"UHW__S504.UHW__2.95.m","UHW__S504.UHW__2.95","UHW","S504","UHW",2.95,"UHW","verknet"
"NSK__S201.Nsk__2.9.m","NSK__S201.Nsk__2.9","NSK","S201","Nsk",2.9,"Neukoellner_Schifffahrtskanal","manually_added"
"SOW__S501.SOW__2.9.m","SOW__S501.SOW__2.9","SOW","S501","SOW",2.9,"SOW","verknet"
"UHW__S504.UHW__2.9.m","UHW__S504.UHW__2.9","UHW","S504","UHW",2.9,"UHW","verknet"
"Pa2__Panke.2__2.867","Pa2__Panke.2__2.867","Pa2","Panke","2",2.867,"Panke","manually_added"
"Pa2__Panke.2__2.832","Pa2__Panke.2__2.832","Pa2","Panke","2",2.832,"Panke","manually_added"
"SOW__S501.SOW__2.8.m","SOW__S501.SOW__2.8","SOW","S501","SOW",2.8,"SOW","verknet"
"UHW__S504.UHW__2.8.m","UHW__S504.UHW__2.8","UHW","S504","UHW",2.8,"UHW","verknet"
"WHK__S311.WHK__2.8.m","WHK__S311.WHK__2.8","WHK","S311","WHK",2.8,"WHK","verknet"
"Pa2__Panke.2__2.795","Pa2__Panke.2__2.795","Pa2","Panke","2",2.795,"Panke","manually_added"
"Pa2__Panke.2__2.7425","Pa2__Panke.2__2.7425","Pa2","Panke","2",2.7425,"Panke","manually_added"
"SOW__S501.SOW__2.7.m","SOW__S501.SOW__2.7","SOW","S501","SOW",2.7,"SOW","verknet"
"UHW__S504.UHW__2.7.m","UHW__S504.UHW__2.7","UHW","S504","UHW",2.7,"UHW","verknet"
"Pa2__Panke.2__2.695","Pa2__Panke.2__2.695","Pa2","Panke","2",2.695,"Panke","manually_added"
"Lwk__S203.Lwk__2.65.m","Lwk__S203.Lwk__2.65","Lwk","S203","Lwk",2.65,"LWK","verknet"
"Pa2__Panke.2__2.646","Pa2__Panke.2__2.646","Pa2","Panke","2",2.646,"Panke","manually_added"
"NSK__S201.Nsk__2.6.m","NSK__S201.Nsk__2.6","NSK","S201","Nsk",2.6,"Neukoellner_Schifffahrtskanal","manually_added"
"Pa2__Panke.2__2.6","Pa2__Panke.2__2.6","Pa2","Panke","2",2.6,"Panke","manually_added"
"SOW__S501.SOW__2.6.m","SOW__S501.SOW__2.6","SOW","S501","SOW",2.6,"SOW","verknet"
"UHW__S504.UHW__2.6.m","UHW__S504.UHW__2.6","UHW","S504","UHW",2.6,"UHW","verknet"
"Pa2__Panke.2__2.532","Pa2__Panke.2__2.532","Pa2","Panke","2",2.532,"Panke","manually_added"
