"","m","b","A"
"Spk__S302.SpK__0.863",-0.0621447517999242,1.9893899204244,32.0121951219512
"Pa__Panke.1__0.825",0,0,0
"SOW__S501.SOW__0.8",-0.0257761053621825,2.1409219190969,30
"UHW__S503.UHW__0.8",-0.111374407582938,1.85308056872038,16.6382978723404
"WHK__S312.WHK__0.8",-0.294491967452535,9.07500521593991,30.8157987956075
"Pa__Panke.1__0.787",0,0,0
"Pa__Panke.1__0.748",0,0,0
"NSK__S201.Nsk__0.73",-0.118690423520895,12.8256043116277,108.059301931549
"Spk__S302.SpK__0.721",-0.0431981811292156,1.59018567639257,36.8114035087719
"Pa__Panke.1__0.702",0,0,0
"SOW__S501.SOW__0.7",-0.0257761053621825,2.1409219190969,30
"Spk__S302.SpK__0.7",-0.0431981811292156,1.59018567639257,36.8114035087719
"UHW__S503.UHW__0.7",-0.111374407582938,1.85308056872038,16.6382978723404
"Pa__Panke.1__0.6485",0,0,0
"Spk__S302.SpK__0.622",-0.0431981811292156,1.59018567639257,36.8114035087719
"Lwk__S313.LwK__0.61",-0.334557669366485,12.7443021284611,38.0929905226612
"Pa__Panke.1__0.609",0,0,0
"Spk__S302.SpK__0.602",-0.0431981811292156,1.59018567639257,36.8114035087719
"CVK__S308.CVK__0.6",-0.370331733778427,11.8699144585854,32.0521126760563
"SOW__S501.SOW__0.6",-0.0257761053621825,2.1409219190969,30
"UHW__S503.UHW__0.6",-0.111374407582938,1.85308056872038,16.6382978723404
"Lwk__S313.LwK__0.58",-0.323632824762981,12.4105292898851,38.3475603841304
"Spk__S302.SpK__0.578",-0.0431981811292156,1.59018567639257,36.8114035087719
"HOW__S530.HOW__0.55",0,0,0
"Lwk__S313.LwK__0.55",-0.323632824762981,12.4105292898851,38.3475603841304
"Pa__Panke.1__0.543",0,0,0
"HOW__S530.HOW__0.5",0,0,0
"SOW__S501.SOW__0.5",-0.0257761053621825,2.1409219190969,30
"UHW__S503.UHW__0.5",-0.111374407582938,1.85308056872038,16.6382978723404
"NSK__S201.Nsk__0.465",-0.106624301170414,13.6315408438242,127.846473029046
"Pa__Panke.1__0.404",0,0,0
"Spk__S302.SpK__0.402",-0.0431981811292156,1.59018567639257,36.8114035087719
"HOW__S530.HOW__0.4",0,0,0
"SOW__S501.SOW__0.4",-0.0257761053621825,2.1409219190969,30
"SOW__S502.SOW__0.4",-0.0257761053621825,2.1409219190969,30
"UHW__S503.UHW__0.4",-0.111374407582938,1.85308056872038,16.6382978723404
"WHK__S312.WHK__0.4",-0.294491967452535,9.07500521593991,30.8157987956075
"Lwk__S313.LwK__0.35",-0.325359452502041,12.4345451120738,38.2178695484369
"Spk__S302.SpK__0.347",-0.0431981811292156,1.59018567639257,36.8114035087719
"Pa__Panke.1__0.328",0,0,0
"HOW__S530.HOW__0.3",0,0,0
"SOW__S502.SOW__0.3",-0.0367563471011747,2.16445623342175,25
"UHW__S503.UHW__0.3",-0.111374407582938,1.85308056872038,16.6382978723404
"WHK__S312.WHK__0.3",-0.294491967452535,9.07500521593991,30.8157987956075
"Spk__S302.SpK__0.282",-0.0431981811292156,1.59018567639257,36.8114035087719
"Pa__Panke.1__0.254",0,0,0
"HOW__S530.HOW__0.2",0,0,0
"NSK__S201.Nsk__0.2",-0.121103647990991,13.8644170051884,114.483892394553
"SOW__S502.SOW__0.2",-0.0367563471011747,2.16445623342175,25
"UHW__S503.UHW__0.2",-0.186440677966102,2.05254237288136,11.0090909090909
"Pa__Panke.1__0.199",0,0,0
"Lwk__S313.LwK__0.18",-0.370659885728637,13.9737238651347,37.6995849919539
"Pa__Panke.1__0.15",0,0,0
"Pa__Panke.1__0.126",0,0,0
"VB__S308.Nordhafen.Vorbecken__0.114",0,0,0
"Pa__Panke.1__0.106",0,0,0
"HOW__S530.HOW__0.1",0,0,0
"Lwk__S313.LwK__0.1",-0.37819426131726,14.1694292710492,37.4660081348053
"UHW__S503.UHW__0.1",-0.186440677966102,2.05254237288136,11.0090909090909
"VB__S308.Nordhafen.Vorbecken__0.097",0,0,0
"VB__S308.Nordhafen.Vorbecken__0.081",0,0,0
"VB__S308.Nordhafen.Vorbecken__0.067",0,0,0
"VB__S308.Nordhafen.Vorbecken__0.052",0,0,0
"VB__S308.Nordhafen.Vorbecken__0.035",0,0,0
"Spk__S302.SpK__0.02",-0.0431981811292156,1.59018567639257,36.8114035087719
"VB__S308.Nordhafen.Vorbecken__0.015",0,0,0
"CVK__S308.CVK__0",-0.309595484477893,7.36048918156162,23.7745366150106
"HOW__S530.HOW__0",0,0,0
"Lwk__S313.LwK__0",-0.37819426131726,14.1694292710492,37.4660081348053
"NSK__S201.Nsk__0",-0.121103647990991,13.8644170051884,114.483892394553
"Spk__S302.SpK__0",-0.0431981811292156,1.59018567639257,36.8114035087719
"UHW__S503.UHW__0",-0.666666666666667,1,1.5
"VB__S308.Nordhafen.Vorbecken__0",0,0,0
"WHK__S312.WHK__0",-0.306801585645733,9.32025871061965,30.3787827269636
